account_id,date,action,symbol,quantity,price,fees,amount,currency,raw_action,raw_date
acc-agora,2025-11-05,DIVIDEND,TSVL,,,,40,BRL,Dividend,11/5/2025
acc-schwab,2025-11-21,DIVIDEND,VNTR,,,,18,USD,Dividend,11/21/2025
acc-schwab,2025-11-22,DIVIDEND,HRZN,,,,25,USD,Dividend,11/22/2025
acc-ally,2025-12-13,DIVIDEND,CPWR,,,,20,USD,Dividend,12/13/2025
acc-ally,2025-12-28,DIVIDEND,QRTZ,,,,10,USD,Dividend,12/28/2025
acc-agora,2025-12-29,DIVIDEND,AGRB,,,,60,BRL,Dividend,12/29/2025
acc-ally,2026-02-01,DIVIDEND,STBL,,,,8,USD,Dividend,2/1/2026
acc-agora,2026-03-09,DIVIDEND,TSVL,,,,40,BRL,Dividend,3/9/2026
acc-agora,2026-04-05,DIVIDEND,AGRB,,,,60,BRL,Dividend,4/5/2026
acc-schwab,2026-07-11,DIVIDEND,HRZN,,,,25,USD,Dividend,7/11/2026
acc-ally,2026-07-11,DIVIDEND,CPWR,,,,20,USD,Dividend,7/11/2026
acc-schwab,2026-07-11,DIVIDEND,VNTR,,,,18,USD,Dividend,7/11/2026
acc-ally,2026-07-11,DIVIDEND,QRTZ,,,,10,USD,Dividend,7/11/2026
acc-ally,2026-07-11,DIVIDEND,STBL,,,,8,USD,Dividend,7/11/2026
acc-agora,2026-07-11,DIVIDEND,AGRB,,,,60,BRL,Dividend,7/11/2026
acc-agora,2026-07-11,DIVIDEND,TSVL,,,,40,BRL,Dividend,7/11/2026
